order_purchase_timestamp,revenue
2018-03-25,25336.31
2018-03-26,35008.82
2018-03-27,33609.86
2018-03-28,26972.14
2018-03-29,28336.37
2018-03-30,21871.83
2018-03-31,24386.83
2018-04-01,28553.63
2018-04-02,39041.32
2018-04-03,36107.92
2018-04-04,36706.21
2018-04-05,35763.14
2018-04-06,26528.26
2018-04-07,24874.1
2018-04-08,23212.85
2018-04-09,48922.94
2018-04-10,27416.11
2018-04-11,38318.13
2018-04-12,33952.78
2018-04-13,29605.91
2018-04-14,18776.7
2018-04-15,30171.31
2018-04-16,39973.23
2018-04-17,33777.37
2018-04-18,38231.89
2018-04-19,42749.340000000004
2018-04-20,27176.04
2018-04-21,18839.36
2018-04-22,27171.0
2018-04-23,37135.47
2018-04-24,42219.08
2018-04-25,40621.4
2018-04-26,31263.86
2018-04-27,39552.35
2018-04-28,22511.91
2018-04-29,19156.84
2018-04-30,35203.64
2018-05-01,32695.0
2018-05-02,36451.83
2018-05-03,40915.77
2018-05-04,38990.96
2018-05-05,27825.16
2018-05-06,27800.55
2018-05-07,52726.03
2018-05-08,47145.8
2018-05-09,42308.13
2018-05-10,49689.88
2018-05-11,37785.29
2018-05-12,28736.13
2018-05-13,31203.52
2018-05-14,52633.1
2018-05-15,40879.52
2018-05-16,55562.13
2018-05-17,30876.73
2018-05-18,30941.63
2018-05-19,25052.39
2018-05-20,19163.579999999998
2018-05-21,24546.19
2018-05-22,27229.09
2018-05-23,17501.05
2018-05-24,20023.26
2018-05-25,15888.92
2018-05-26,14799.17
2018-05-27,12523.25
2018-05-28,26702.47
2018-05-29,25572.08
2018-05-30,18994.8
2018-05-31,24381.28
2018-06-01,32298.92
2018-06-02,25216.62
2018-06-03,28096.96
2018-06-04,28209.010000000002
2018-06-05,30524.36
2018-06-06,26134.4
2018-06-07,37020.4
2018-06-08,26161.02
2018-06-09,29172.11
2018-06-10,25360.34
2018-06-11,49669.7
2018-06-12,40267.200000000004
2018-06-13,33791.840000000004
2018-06-14,27369.6
2018-06-15,26313.760000000002
2018-06-16,24287.170000000002
2018-06-17,17238.33
2018-06-18,33724.5
2018-06-19,34103.02
2018-06-20,28722.99
2018-06-21,27595.68
2018-06-22,24567.23
2018-06-23,17397.05
2018-06-24,24303.6
2018-06-25,35346.52
2018-06-26,30420.59
2018-06-27,26496.48
2018-06-28,30681.0
2018-06-29,20277.58
2018-06-30,15309.880000000001
2018-07-01,23885.47
2018-07-02,22872.2
2018-07-03,26102.52
2018-07-04,35149.77
2018-07-05,28490.43
2018-07-06,18739.64
2018-07-07,8816.76
2018-07-08,14064.7
2018-07-09,19360.95
2018-07-10,18127.59
2018-07-11,17719.1
2018-07-12,19551.98
2018-07-13,27644.23
2018-07-14,21542.92
2018-07-15,29518.6
2018-07-16,29990.09
2018-07-17,29532.13
2018-07-18,40860.9
2018-07-19,38426.79
2018-07-20,31898.19
2018-07-21,20845.68
2018-07-22,25903.420000000002
2018-07-23,39296.34
2018-07-24,39903.0
2018-07-25,40183.26
2018-07-26,34744.03
2018-07-27,28104.86
2018-07-28,24813.32
2018-07-29,29453.61
2018-07-30,37606.96
2018-07-31,44804.02
2018-08-01,40244.22
2018-08-02,37834.35
2018-08-03,41477.14
2018-08-04,34646.27
2018-08-05,34701.48
2018-08-06,53475.41
2018-08-07,46744.2
2018-08-08,42449.38
2018-08-09,39659.48
2018-08-10,32841.77
2018-08-11,25916.03
2018-08-12,29150.53
2018-08-13,38245.22
2018-08-14,43900.96
2018-08-15,45376.15
2018-08-16,35166.77
2018-08-17,31124.03
2018-08-18,24157.5
2018-08-19,25487.39
2018-08-20,33749.5
2018-08-21,26274.06
2018-08-22,20247.24
2018-08-23,17030.87
